x,qx
0,0.00426
1,0.00049
2,0.00038
3,0.00031
4,0.00026
5,0.00024
6,0.00023
7,0.00023
8,0.00021
9,0.0002
10,0.00019
11,0.00019
12,0.0002
13,0.00022
14,0.00024
15,0.00026
16,0.00029
17,0.00031
18,0.00034
19,0.00037
20,0.0004
21,0.00044
22,0.00048
23,0.00052
24,0.00057
25,0.00062
26,0.00067
27,0.00073
28,0.0008
29,0.00087
30,0.00095
31,0.00103
32,0.00113
33,0.00123
34,0.00134
35,0.00146
36,0.00159
37,0.00173
38,0.00189
39,0.00205
40,0.00224
41,0.00244
42,0.00266
43,0.00289
44,0.00315
45,0.00344
46,0.00374
47,0.00408
48,0.00444
49,0.00484
50,0.00528
51,0.00575
52,0.00626
53,0.00682
54,0.00743
55,0.00809
56,0.00882
57,0.0096
58,0.01046
59,0.01139
60,0.01241
61,0.01352
62,0.01472
63,0.01603
64,0.01745
65,0.019
66,0.02069
67,0.02253
68,0.02452
69,0.02669
70,0.02905
71,0.03173
72,0.03506
73,0.03858
74,0.04234
75,0.04648
76,0.051
77,0.05612
78,0.06198
79,0.0686
80,0.07584
81,0.08466
82,0.09407
83,0.1039
84,0.11476
85,0.1269
86,0.13942
87,0.15481
88,0.17114
89,0.18841
90,0.20541
91,0.21847
92,0.23528
93,0.25574
94,0.27937
95,0.30669
96,0.33209
97,0.35875
98,0.37354
99,0.39535
100,0.42298
101,0.44871
102,0.47666
103,0.50701
104,0.53995
105,0.57535
106,0.61217
107,0.65048
108,0.68993
109,0.73138
110,0.77448
